英文关键词,中文关键词
Natural language understanding,自然语言理解
Polymerase chain reaction,聚合酶链反应
Participatory planning,参与式规划
Climate system,气候系统
Resource efficiency,资源效率
Environmental monitoring,环境监测
Carbon offset,碳抵消
Macroecology,宏生态学
Forest degradation,森林退化
Coupling (piping),联轴器（管道）
Fire ecology,火生态学
Satellite,卫星
Drug target,药物靶点
Meteorology,气象学
Binary data,二进制数据
One Health,一个健康
Embodied energy,内含能
Flood risk assessment,洪水风险评估
Spatial distribution,空间分布
Litany,利塔尼
Gender studies,性别研究
Hydrogeology,水文地质学
Inequality,不平等
Disaster risk reduction,减灾
Stochastic process,随机过程
Pedagogy,教育学
Multimedia,多媒体
Principle of legality,合法性原则
Econometrics,计量经济学
Agroforestry,农林复合系统
Bounded rationality,有限理性
Multidimensional scaling,多维尺度分析
Lymph node,淋巴结
Poison control,中毒控制中心
Environmental disaster,环境灾难
Public relations,公共关系
Information technology,信息技术
Economics,经济学
Philosophy of science,科学哲学
Geostatistics,地质统计学
Mars Exploration Program,火星探测计划
Gauge (firearms),仪表（枪支）
Information retrieval,信息检索
Pancreatic carcinoma,胰腺癌
Ribosomal RNA,核糖体RNA
Mathematical economics,数理经济学
Surface mining,露天开采
Gradient boosting,梯度提升
Environmentalism,环境主义
Information system,信息系统
Multidisciplinary approach,多学科方法
Neuroimaging,神经影像
Walkability,步行适宜性
Situated,位于
Snow,雪
Karst,喀斯特
Human–computer interaction,人机交互
Industrial symbiosis,工业共生
Variety (cybernetics),多样性（控制论）
TEC,热电子转换器
Path (computing),路径（计算）
Psychic,灵媒
Stove,炉子
Transcriptome,转录组
Spectroradiometer,光谱辐射计
Computerized adaptive testing,计算机化自适应测验
Textile,纺织
Ekman transport,埃克曼输送
Action (physics),动作（物理）
Development aid,发展援助
Livestock,牲畜
Relevance (law),相关性（法律）
Climate pattern,气候模式
Shoal,浅滩
Main river,主要河流
Amplitude,振幅
Vapour Pressure Deficit,蒸汽压不足
Discoverability,可发现性
Parkinson's disease,帕金森病
RGB color model,RGB颜色模型
Work (physics),工作（物理）
Public space,公共空间
Synthetic aperture radar,合成孔径雷达
Sewerage,下水道系统
Digital mapping,数字地图
Data exchange,数据交换
Cohort study,队列研究
Hydrograph,水文图
Reliability (semiconductor),可靠性（半导体）
Crop simulation model,作物模拟模型
Cyberinfrastructure,信息基础设施
Aging in place,在地安养
Remote sensing application,遥感应用
Hydrological modelling,水文模拟
Gaze,凝视
Nursing,护理
Web modeling,建模
Cognitive science,认知科学
Preference,偏好
Percolation (cognitive psychology),渗流（认知心理学）
Limit (mathematics),极限（数学）
Multimodal transport,多式联运
Dryness,干燥
Volcanic hazards,火山灾害
Governmentality,治理术
Water vapor,水蒸气
Joint entropy,联合熵
Program code,程序代码
Flow (mathematics),流量（数学）
Qualitative research,定性研究
Causality (physics),因果关系（物理学）
Wearable computer,可穿戴计算机
Chlamydia trachomatis,沙眼衣原体
Spatial decision support system,空间决策支持系统
Politics,政治
Prospecting,勘探
Floristics,植物区系学
Cadastre,地籍
Noise (video),噪音（视频）
Object (grammar),对象（语法）
Photogrammetry,摄影测量
Bottleneck,瓶颈
Precoding,预编码
Flow routing,流路由
Disease,疾病
Generative adversarial network,生成型对抗网络
Data Web,数据网络
Driving factors,驱动因素
Agrarian society,农业社会
Supervised learning,监督学习
Cropping system,种植制度
Cysteine metabolism,半胱氨酸代谢
Interoperability,互操作性
Social science,社会科学
Health care,医疗保健
Water cycle,水循环
Population,人口
Rail network,铁路网
Supplementary motor area,辅助电机区
Subaltern,次级过滤器
Motor system,电动机系统
Forest cover,森林覆盖率
Microdata (statistics),微观数据（统计）
Water scarcity,水资源短缺
Environmental resource management,环境资源管理
Tree (set theory),树（集合论）
Sustainable transport,可持续交通
Executable,可执行
Gray (unit),灰色（单位）
Particle (ecology),粒子（生态学）
Operations research,运筹学
Lung,肺
Computer security,计算机安全
Ecosystem ecology,生态系统生态学
Mathematical sciences,数学科学
Scalar field,标量场
Earth's energy budget,地球的能源预算
Subtyping,子类型
Governor,州长
Geothermal energy,地热能
Blueprint,蓝图
Spatial intelligence,空间智能
Integrated information theory,综合信息理论
Thermal infrared,热红外
Data integration,数据集成
Water content,含水量
Sediment,沉积物
Zostera marina,大叶藻
Nothing,无
Effector,效应器
Fibroblast growth factor receptor,成纤维细胞生长因子受体
Rendering (computer graphics),渲染（计算机图形学）
3G MIMO,3G MIMO
Code (set theory),代码（集合论）
Presentation (obstetrics),介绍（产科）
MIMO,多输入多输出
International law,国际法
Common spatial pattern,共空间模式
Systems engineering,系统工程
Indexicality,索引性
Learning analytics,学习分析
Accretion (finance),增值（金融）
Radiative forcing,辐射强迫
Natura 2000,Natura 2000
Ensemble learning,集成学习
Indigenous education,本土教育
Ethnography,民族志
Quality of life (healthcare),生活质量（医疗保健）
Craft,工艺
Ecosystem engineer,生态系统工程师
Named-entity recognition,命名实体识别
Emergency management,应急管理
Channel state information,通道状态信息
Decolonization,非殖民化
Visualization,可视化
Motor coordination,运动协调
Feature selection,特征选择
Particle swarm optimization,粒子群优化
Lookup table,查找表
Medicine,医学
Introduced species,引进种
Sea surface temperature,海面温度
Limiting,限幅
Fuzzy inference,模糊推理
Discipline,纪律
Downwelling,下降流
Economic growth,经济增长
Adaptation (eye),适应（眼睛）
Erosion,侵蚀
Drainage network,排水管网
Web standards,网页标准
LRRK2,LRRK2
Landscape design,景观设计
Affordance,可供性
Proteome,蛋白质组
Sensor web,传感器网络
Directory,目录
Tharsis,塔尔西斯
Biogeochemical cycle,生物地球化学循环
Genetic variability,遗传变异性
Disaster response,灾害应对
Diversity (politics),多样性（政治）
Theory of everything (philosophy),万物理论（哲学）
Conservation biology,保护生物学
Bridge (graph theory),桥（图论）
Morphology (biology),形态学（生物学）
Lahar,火山泥流
Chronology,年表
Bibliometrics,文献计量学
Gerontology,老年学
Social exclusion,社会排斥
Excavation,挖掘
Decomposition,分解
Isolation by distance,分化
Sustainable agriculture,可持续农业
Sea level,海平面
Climate model,气候模式
User interface,用户界面
Exponential function,指数函数
New business development,新业务开发
Wind power,风能
Climate sensitivity,气候敏感性
Data extraction,数据提取
Sensor fusion,传感器融合
Normative,规范的
Vulnerability (computing),漏洞（计算）
Spatial contextual awareness,空间情境意识
Grounded theory,扎根理论
Network analysis,网络分析
Urban climate,城市气候
Landscape planning,景观规划
Evapotranspiration,蒸散发
Carbon cycle,碳循环
Phagocytosis,吞噬作用
Bistatic radar,双基地雷达
Investment (military),投资（军事）
Radioactive waste,放射性废物
Environmental law,环境法
Habitat fragmentation,生境破碎化
Human settlement,人类住区
Ribosomal DNA,核糖体DNA
Logit,逻辑值
Built environment,建筑环境
Blended learning,混合式学习
Traceability,可追溯性
Soil map,土壤图
Focus (optics),焦点（光学）
Geographic information system,地理信息系统
Visitor pattern,接见者模式
Arid,干旱的
Narrowband,窄带
GNSS applications,GNSS应用
Structural equation modeling,结构方程建模
Markov chain,马尔可夫链
Critical infrastructure,关键基础设施
Media studies,媒体研究
Metadata,元数据
Econometric analysis,计量经济学
Orbital mechanics,轨道力学
Sorting,排序
Urothelial cancer,尿路上皮癌
Information extraction,信息提取
Randomized controlled trial,随机对照试验
Coping (psychology),应对（心理学）
Seismology,地震学
Mesoscale meteorology,中尺度气象学
Transformative learning,转化式学习
Hospitality industry,酒店业
Natural history,自然历史
Biochemistry,生物化学
Multispectral image,多光谱图像
Biogeosciences,生物地球科学
Deep learning,深度学习
Neoadjuvant therapy,新辅助治疗
Environmental impact assessment,环境影响评价
Topological space,拓扑空间
Regional planning,区域规划
Puma,彪马
Crop yield,作物产量
Scripting language,脚本语言
Variable (mathematics),变量（数学）
Generalized additive model,广义加性模型
Stability (learning theory),稳定性（学习理论）
Current (fluid),电流（流体）
Civil aviation,民用航空
Rainfed agriculture,雨养农业
Lava field,熔岩场
Clutter,杂乱
Demographic economics,人口经济学
Divergence (linguistics),分歧（语言学）
Proportional hazards model,比例危险率模型
Public policy,公共政策
Terrorism,恐怖主义
Peacebuilding,建立和平
Estuary,河口
Applied mathematics,应用数学
Wildlife,野生动物
Conductive ink,导电油墨
Thematic Mapper,专题制图仪
Social phenomenon,社会现象
Lake ecosystem,湖泊生态系统
Bibliographic coupling,书目耦合
Mainland China,mainland china
Oak Ridge National Laboratory,橡树岭国家实验室
Southeast asia,东南亚
Higher education,高等教育
DNS root zone,DNS根区域
Task (project management),任务（项目管理）
Digital transformation,数字化转型
Disaster research,灾害研究
Documentation,文档
Rainwater harvesting,雨水收集
Anomaly (physics),异常（物理学）
Development (topology),开发（拓扑）
Glacier terminus,冰川终点
Forestry,林业
Erosion control,侵蚀控制
Dimensionality reduction,降维
Geographic coordinate conversion,地理坐标转换
Mean squared error,均方误差
Coding (social sciences),编码（社会科学）
Impact crater,撞击坑
Biology,生物学
Spatial variability,空间变异性
Genetics,遗传学
Social media,社交媒体
Markov random field,马尔可夫随机场
"Land use, land-use change and forestry",土地利用、土地利用变化和林业
Physical geography,自然地理学
Educational attainment,教育程度
National Grid,国家电网
Global health,全球卫生
Audit,审计
Social psychology,社会心理学
Reflexivity,自反性
Knowledge extraction,知识抽取
Fractal dimension,分形维数
Suite,套件
Image (mathematics),图像（数学）
Matching (statistics),匹配（统计）
Levenshtein distance,莱文斯坦距离
Microbial population biology,微生物种群生物学
Fuzzy inference system,模糊推理系统
Aesthetics,美学
Relationship extraction,关系提取
Paclitaxel,紫杉醇
Czech,捷克
Upload,上传
Participatory action research,参与式行动研究
Feature (linguistics),特征（语言学）
Cropping,裁剪
Mesopotamia,美索不达米亚
Knowledge management,知识管理
Wetland,湿地
Climate resilience,气候适应能力
Principle of maximum entropy,最大熵原理
Human immunodeficiency virus (HIV),人类免疫缺陷病毒（HIV）
Retrofitting,改造
Non-equilibrium thermodynamics,非平衡热力学
Urban area,市区
Intervention (counseling),干预（咨询）
Air quality index,空气质量指数
Toolchain,工具链
Solar eclipse,日食
Water quality,水质
Beamforming,波束成形
Eclipse,日蚀
Apartment,公寓
Testbed,测试平台
Production (economics),生产（经济）
Watershed,分水岭
Landscape assessment,景观评估
Preparedness,准备
Information processing,信息处理
Social constructivism,社会建构主义
Astronomy,天文学
Thinning,稀疏化
Bathymetric chart,等深线图
Fractal,分形
Bladder cancer,膀胱癌
Urbanization,城市化
Energy modeling,能量建模
3D city models,三维城市模型
Indigenous,土著
Level of detail,详细程度
Big data,大数据
Histone,组蛋白
Civilization,文明
Resource (disambiguation),资源（消歧义）
Excellence,卓越
Water resources,水资源
Regulator,调节器
Euchromatin,常染色质
Transit-oriented development,以公交为导向的发展
Coastal erosion,海岸侵蚀
Building management,楼宇管理
Pattern recognition (psychology),模式识别（心理学）
Spatial planning,空间规划
Service provider,服务提供商
Stereoscopy,立体视法
Atmospheric sciences,大气科学
Radio astronomy,射电天文学
Soil loss,土壤流失
Ravine,峡谷
Streamflow,径流
Liminality,阈限性
Sociology of scientific knowledge,科学知识社会学
Agricultural land,农地
Sinkhole,天坑
Altitude (triangle),高度（三角形）
Glacier,冰川
Geology,地质学
Law and economics,法律与经济学
World Wide Web,万维网
Mobile mapping,移动地图
Surface water,地表水
Object detection,目标检测
Imaging spectrometer,成像光谱仪
Field (mathematics),领域（数学）
Per capita,人均
Trachoma,沙眼
Human geography,人文地理学
Extension (predicate logic),扩展（谓词逻辑）
Ministate,微型国家
Geolocation,地理位置
Time series,时间序列
Urban planning,城市规划
Software engineering,软件工程
Public engagement,公众参与
Blue carbon,蓝碳
Geographically Weighted Regression,地理加权回归
Projection (relational algebra),投影（关系代数）
Classical mechanics,经典力学
Domestic violence,家庭暴力
100-year flood,百年一遇洪水
Electricity generation,发电
Radar,雷达
Risk analysis (engineering),风险分析（工程）
Energy balance,能量平衡
Biogeochemistry,生物地球化学
Syndemic,学术
Quantitative analysis (chemistry),定量分析（化学）
Wireless,无线
Scalar (mathematics),标量（数学）
Root mean square,均方根
Edge device,边缘设备
Injury prevention,伤害预防
Condition index,条件索引
Tourism,旅游
Axiom,公理
Scientific communication,科学传播
Development theory,发展理论
Ethnology,民族学
Environmental change,环境变化
Intraspecific competition,种内竞争
Power (physics),功率（物理）
Knowledge base,知识库
Environmental ethics,环境伦理学
Environmental design and planning,环境设计与规划
Impervious surface,不透水表面
Dominance (genetics),优势（遗传学）
Multiple-criteria decision analysis,多准则决策分析
Food systems,食品系统
Econometric model,计量经济学模型
Multivariate statistics,多元统计
Human rights,人权
Pixel,像素
Warning system,预警系统
Bathymetry,测深学
Legal doctrine,法律原则
Phylogenetic tree,系统发育树
Engineering,工程
Incidence (geometry),入射角（几何形状）
Art history,艺术史
Urban spatial structure,城市空间结构
Scattering,散射
Spatial analysis,空间分析
Selection (genetic algorithm),选择（遗传算法）
Publishing,出版
Raster data,栅格数据
Hospitality management studies,酒店管理学
Magnitude (astronomy),震级（天文学）
Cluster analysis,聚类分析
Aviation,航空
Spillover effect,溢出效应
Severe Acute Malnutrition,严重急性营养不良
Parliament,议会
Prehistory,史前
Astrophysics,天体物理学
CLARITY,清晰度
Minification,最小化
Peat,泥炭
Coupling parameter,耦合参数
Articulation (sociology),发音（社会学）
Context (archaeology),背景（考古学）
Land management,土地管理
Boosting (machine learning),Boosting（机器学习）
Hydrology (agriculture),水文学（农业）
Primary production,初级生产
Ambiguity,歧义
Conceptual model,概念模型
Damages,损害赔偿
Functional magnetic resonance imaging,功能性磁共振成像
Lymph,淋巴
Destinations,目的地
Classics,经典
Biodiversity,生物多样性
Poverty,贫困
ArcGIS Server,ArcGIS服务器
Urban density,城市密度
Resistance (ecology),阻力（生态）
Architecture,建筑
Composite index,综合指数
Drainage system (geomorphology),排水系统（地貌）
CONTEST,竞赛
Ecosystem,生态系统
Mathematics education,数学教育
Soil classification,土壤分类
Young adult,年轻人
Image segmentation,图像分割
Safeguarding,保障
Ideal (ethics),理想（伦理）
Graph theory,图论
Family business,家族企业
Transparency (behavior),透明度（行为）
Wildlife corridor,野生动物走廊
Conflict resolution,冲突解决
Water use,用水
Cave,洞穴
Source code,源代码
Observable,可观察对象
Arbovirus,虫媒病毒
Frontier,前沿
Data element,数据元素
Informal sector,非正规部门
Gold mining,金矿开采
Inversion (geology),反演（地质）
Normalized Difference Vegetation Index,归一化植被指数
Deforestation (computer science),森林砍伐（计算机科学）
Interpretation (philosophy),解释（哲学）
Overfishing,过度捕捞
Forcing (mathematics),强迫（数学）
Variation (astronomy),变化（天文学）
Feature extraction,特征提取
Trichiasis,倒睫
Public transport,公共交通
Meaning (existential),意义（存在）
Convolutional neural network,卷积神经网络
Cognitive neuroscience of visual object recognition,视觉对象识别的认知神经科学
Mosaic,马赛克
Surface pressure,表面压力
Yarn,纱线
Default mode network,默认模式网络
Information sharing,信息共享
Social relation,社会关系
Automated reasoning,自动推理
Public service,公共服务
Value proposition,价值主张
Animal ecology,动物生态学
Available water capacity,有效水容量
Dismemberment,肢解
Climate change adaptation,适应气候变化
Data mining,数据挖掘
Arctic,北极
Field of view,视野
Pathology,病理学
Storm,风暴
Epigenetics,表观遗传学
Coaching,教练
Data mapping,数据映射
Scheduling (production processes),调度（生产过程）
Fractal analysis,分形分析
Masculinity,男子气概
Settlement (finance),结算（财务）
Trophic level,营养级
Flood myth,大洪水
Growing season,生长季节
Decision tree,决策树
Entitlement (fair division),权利（公平分配）
Instrumentation (computer programming),仪器仪表（计算机编程）
Function (biology),功能（生物学）
Secondary sector of the economy,第二产业
Career development,职业发展
Hierarchy,层级
Land-use planning,土地利用规划
Eucalyptus,桉树
Computer graphics (images),计算机图形学（图像）
International human rights law,国际人权法
Raw data,原始数据
Shuttle Radar Topography Mission,航天飞机雷达地形测绘任务
Adaptability,适应性
Employability,就业能力
Wearable technology,可穿戴技术
Software,软件
Scalability,可扩展性
Community engagement,社区参与
Visibility,能见度
